ts_0 elapsed_0 pkg_0 pp0_0 dram_0 ts_1 elapsed_1 pkg_1 pp0_1 dram_1 
1335562136.518022 0.010000 17.178361 3.840641 1.614381 1335562136.518081 0.009997 17.594276 4.392845 1.605724 
1335562136.528022 0.010000 16.850297 3.523258 1.597597 1335562136.528080 0.009999 15.661604 3.741815 1.600801 
1335562136.538023 0.010001 17.172146 3.857058 2.079577 1335562136.538080 0.010000 17.434709 4.187016 1.600648 
1335562136.548020 0.009997 17.354639 4.028047 2.387217 1335562136.548077 0.009997 17.420272 4.180682 1.601145 
1335562136.558022 0.010002 17.315439 4.009249 1.601869 1335562136.558073 0.009996 17.399036 4.165816 1.599771 
1335562136.568026 0.010004 16.889228 3.556911 1.452050 1335562136.568082 0.010009 17.357948 4.145113 1.599200 
1335562136.578021 0.009995 17.161013 3.834932 1.613663 1335562136.578078 0.009996 17.415828 4.173448 1.602824 
1335562136.588022 0.010001 17.169094 3.840275 1.614227 1335562136.588078 0.010000 17.387407 4.165653 1.600648 
1335562136.598023 0.010001 16.836484 3.522922 1.586764 1335562136.598079 0.010001 17.405583 4.171359 1.600496 
1335562136.608025 0.010002 16.863865 3.522586 2.268551 1335562136.608081 0.010002 17.403924 4.164859 1.601869 
1335562136.618024 0.009999 17.144901 3.830325 1.600801 1335562136.618083 0.010002 17.393244 4.161808 1.601869 
1335562136.628024 0.010000 16.856400 3.523258 1.614381 1335562136.628081 0.009998 17.381567 4.160343 1.600954 
1335562136.638023 0.009999 17.146427 3.825747 1.611483 1335562136.638080 0.009999 17.384487 4.156895 1.599275 
1335562136.648023 0.010000 16.848771 3.526310 1.614381 1335562136.648081 0.010001 17.408635 4.169833 1.602022 
1335562136.658023 0.010000 16.865556 3.530887 1.593019 1335562136.658079 0.009998 17.404459 4.175605 1.602480 
1335562136.668027 0.010004 16.835844 3.521830 2.149094 1335562136.668083 0.010004 17.386463 4.154814 1.600000 
1335562136.678026 0.009999 16.854956 3.525120 1.941105 1335562136.678083 0.010000 17.387407 4.159550 1.599123 
